eval_loss,eval_accuracy,eval_precision,eval_recall,eval_f1,eval_runtime,eval_samples_per_second,eval_steps_per_second,epoch,split_size,set_name
0.7376747131347656,0.436,0.5714285714285714,0.004250797024442083,0.008438818565400843,52.5194,190.406,23.801,1.0,1%,Set_1
0.676895022392273,0.5752,0.572420223787816,0.9785688983351045,0.7223166426983919,52.1049,191.921,23.99,1.0,2%,Set_1
0.694633960723877,0.5646,0.5646,1.0,0.7217180109932251,52.366,190.964,23.87,1.0,5%,Set_1
0.65659499168396,0.6276,0.6189945517582962,0.8854055968827489,0.7286109896516543,51.428,194.447,24.306,1.0,7%,Set_1
0.6068817973136902,0.7449,0.7474812090196705,0.8278427205100957,0.7856122363223802,50.5936,197.653,24.707,1.0,10%,Set_1
0.3451525866985321,0.862,0.8717323109097247,0.8859369465108041,0.8787772312016866,51.0027,196.068,24.508,1.0,20%,Set_1
0.3303186297416687,0.8732,0.8739323539460199,0.906128232376904,0.8897391304347827,50.4816,198.092,24.762,1.0,30%,Set_1
0.3214690089225769,0.8847,0.898386238694804,0.8972724052426496,0.8978289765175012,50.8479,196.665,24.583,1.0,50%,Set_1
0.3175678253173828,0.8929,0.8924343798250128,0.9213602550478215,0.9066666666666666,53.3022,187.61,23.451,1.0,75%,Set_1
0.295880526304245,0.8964,0.9254337393872277,0.8880623450230252,0.9063629790310919,52.7564,189.55,23.694,1.0,100%,Set_1
0.693747341632843,0.5305,0.5690631808278868,0.69394261424017,0.625329183624611,52.3545,191.005,23.876,1.0,1%,Set_2
0.6936244368553162,0.5659,0.5658758202927814,0.9927382217499114,0.7208539643752813,51.874,192.775,24.097,1.0,2%,Set_2
0.6517190337181091,0.6269,0.6207287857773295,0.8719447396386822,0.7251970243794653,51.7444,193.258,24.157,1.0,5%,Set_2
0.6291500329971313,0.679,0.6607708553326294,0.8866454126815445,0.7572228104674029,52.0665,192.062,24.008,1.0,7%,Set_2
0.5842090845108032,0.7532,0.78375,0.777364505844846,0.7805441934910191,50.8451,196.676,24.584,1.0,10%,Set_2
0.34813421964645386,0.8631,0.8895973765713244,0.8648600779312788,0.8770543331836551,51.8465,192.877,24.11,1.0,20%,Set_2
0.3181228041648865,0.8742,0.9047970479704797,0.8685795253276656,0.8863184529188506,51.4305,194.437,24.305,1.0,30%,Set_2
0.310543030500412,0.8826,0.8881944444444444,0.906128232376904,0.8970717166403647,51.0962,195.709,24.464,1.0,50%,Set_2
0.31506606936454773,0.8946,0.9055104203461675,0.90807651434644,0.9067916519278387,51.1072,195.667,24.458,1.0,75%,Set_2
0.31809931993484497,0.8968,0.9124061494458349,0.9040028338646829,0.9081850533807828,50.8458,196.673,24.584,1.0,100%,Set_2
0.7251386642456055,0.5626,0.56425540513235,0.9891958908962097,0.718605249613999,50.6878,197.286,24.661,1.0,1%,Set_3
0.7221648693084717,0.5646,0.5646,1.0,0.7217180109932251,50.9543,196.254,24.532,1.0,2%,Set_3
0.6563814878463745,0.5896,0.5813978040540541,0.9753808005667729,0.7285355205715042,51.0508,195.883,24.485,1.0,5%,Set_3
0.6323390603065491,0.6046,0.5909090909090909,0.9739638682252922,0.7355537720706259,51.2567,195.096,24.387,1.0,7%,Set_3
0.5313576459884644,0.7612,0.7321835803876853,0.9098476797732908,0.8114042015479388,51.9983,192.314,24.039,1.0,10%,Set_3
0.35157155990600586,0.8602,0.8702928870292888,0.8841657810839533,0.8771744860305746,3582.9321,2.791,0.349,1.0,20%,Set_3
0.32614511251449585,0.8746,0.8979702790866256,0.877612469004605,0.8876746685775707,3615.6321,2.766,0.346,1.0,30%,Set_3
0.3320923149585724,0.877,0.8758937691521961,0.9112646121147715,0.8932291666666667,70.6411,141.561,17.695,1.0,50%,Set_3
0.3349361717700958,0.8929,0.9131298537113961,0.8955012398157988,0.904229634266297,49.8771,200.493,25.062,1.0,75%,Set_3
0.2956235408782959,0.9007,0.9108246512449232,0.9135671271696777,0.9121938279246617,50.6503,197.432,24.679,1.0,100%,Set_3
0.7167585492134094,0.5613,0.5646901654506217,0.9732554020545519,0.7147037783702932,48.6898,205.382,25.673,1.0,1%,Set_4
0.6853047013282776,0.5668,0.5702824133504493,0.9442082890541976,0.7110844337735094,1026.8758,9.738,1.217,1.0,2%,Set_4
0.6561742424964905,0.627,0.6674239776301992,0.6764080765143464,0.6718859957776214,1019.3001,9.811,1.226,1.0,5%,Set_4
0.6633443236351013,0.572,0.6855978260869565,0.44686503719447396,0.541067981985846,813.2458,12.296,1.537,1.0,7%,Set_4
0.5801280736923218,0.7278,0.774812030075188,0.7300743889479278,0.751778223600219,50.4184,198.34,24.793,1.0,10%,Set_4
0.35546308755874634,0.8624,0.8824793980652096,0.8724760892667375,0.8774492340577128,973.3604,10.274,1.284,1.0,20%,Set_4
0.3319830894470215,0.8715,0.9055235261298121,0.8623804463336876,0.8834255647282954,1012.6618,9.875,1.234,1.0,30%,Set_4
0.37720975279808044,0.8793,0.8758679085520745,0.9160467587672688,0.8955068825209939,969.8373,10.311,1.289,1.0,50%,Set_4
0.3221604526042938,0.8954,0.9127781765972721,0.9008147360963514,0.9067569976822962,1024.3363,9.762,1.22,1.0,75%,Set_4
0.31404241919517517,0.8977,0.9055974732409194,0.9140984767977329,0.9098281181137065,49.8272,200.693,25.087,1.0,100%,Set_4
0.7252345681190491,0.4563,0.6369593709043251,0.08607863974495218,0.15166172569823685,49.3131,202.786,25.348,1.0,1%,Set_5
0.6923854351043701,0.5546,0.5672838112440731,0.8900106269925611,0.6929123000551571,48.5638,205.915,25.739,1.0,2%,Set_5
